subject,version,character,act,event,position,coherence,lag,plot,response,rt,error,abs_error,condition,exclusion
413,24,Charles,2,E,142,mainplot,mainplot,mainplot,141,2092,-1,1,mainplot,include
413,24,Johnny,2,A,131,unrelated,long,sideplot,112,4413.3,-19,19,unrelated-long,include
413,24,Charles,1,E,65,mainplot,mainplot,mainplot,6,3684.8,-59,59,mainplot,include
413,24,Charles,1,E,70,mainplot,mainplot,mainplot,68,3179.8,-2,2,mainplot,include
413,24,Charles,2,D,121,mainplot,mainplot,mainplot,58,5628.3,-63,63,mainplot,include
413,24,Johnny,2,A,135,unrelated,long,sideplot,100,1811.1,-35,35,unrelated-long,include
413,24,Charles,2,C,110,mainplot,mainplot,mainplot,81,1588.4,-29,29,mainplot,include
413,24,Charles,1,D,56,mainplot,mainplot,mainplot,56,1899,0,0,mainplot,include
413,24,Charles,1,B,19,mainplot,mainplot,mainplot,4,4628.3,-15,15,mainplot,include
413,24,Johnny,2,A,129,unrelated,long,sideplot,97,3188.6,-32,32,unrelated-long,include
413,24,Charles,2,D,128,mainplot,mainplot,mainplot,142,2924.8,14,14,mainplot,include
413,24,Beatrice,2,B,86,coherent,short,sideplot,99,2179.7,13,13,coherent-short,include
413,24,Beatrice,1,B,47,coherent,short,sideplot,40,2300.3,-7,7,coherent-short,include
413,24,Charles,1,D,50,mainplot,mainplot,mainplot,63,1860.6,13,13,mainplot,include
413,24,Melvin,2,B,120,coherent,long,sideplot,94,2932.4,-26,26,coherent-long,include
413,24,Charles,2,B,93,mainplot,mainplot,mainplot,82,1340.7,-11,11,mainplot,include
415,13,Charles,1,E,68,mainplot,mainplot,mainplot,48,8896.5,-20,20,mainplot,include
415,13,Charles,1,E,66,mainplot,mainplot,mainplot,108,8955,42,42,mainplot,include
415,13,Beatrice,1,A,29,coherent,long,sideplot,11,6010.4,-18,18,coherent-long,include
415,13,Charles,1,C,34,mainplot,mainplot,mainplot,56,4178.7,22,22,mainplot,include
415,13,Johnny,2,B,84,unrelated,short,sideplot,NA,NA,NA,NA,unrelated-short,exclude
