subject,version,character,act,event,position,coherence,lag,plot,response,rt,error,abs_error,condition,exclusion
411,12,Johnny,2,A,118,coherent,long,sideplot,88,5605.3,-30,30,coherent-long,include
411,12,Charles,2,D,123,mainplot,mainplot,mainplot,130,2661.4,7,7,mainplot,include
411,12,Charles,2,D,124,mainplot,mainplot,mainplot,135,1708.6,11,11,mainplot,include
411,12,Charles,2,B,95,mainplot,mainplot,mainplot,104,2453.3,9,9,mainplot,include
411,12,Charles,1,C,40,mainplot,mainplot,mainplot,66,5564.5,26,26,mainplot,include
411,12,Charles,2,B,92,mainplot,mainplot,mainplot,104,1644.6,12,12,mainplot,include
411,12,Beatrice,1,A,61,unrelated,short,sideplot,18,3628.3,-43,43,unrelated-short,include
411,12,Melvin,1,A,42,coherent,short,sideplot,34,2052.5,-8,8,coherent-short,include
411,12,Melvin,1,A,43,coherent,short,sideplot,34,1476,-9,9,coherent-short,include
411,12,Melvin,1,A,44,coherent,short,sideplot,34,1437.5,-10,10,coherent-short,include
411,12,Beatrice,2,B,97,unrelated,short,sideplot,18,3948.3,-79,79,unrelated-short,include
411,12,Sandra,1,A,27,unrelated,long,sideplot,33,2549.4,6,6,unrelated-long,include
411,12,Charles,1,C,39,mainplot,mainplot,mainplot,67,6244.5,28,28,mainplot,include
411,12,Charles,1,C,37,mainplot,mainplot,mainplot,65,1860.4,28,28,mainplot,include
411,12,Charles,2,C,110,mainplot,mainplot,mainplot,114,2268.4,4,4,mainplot,include
411,12,Sandra,2,B,129,unrelated,long,sideplot,33,2892.5,-96,96,unrelated-long,include
411,12,Johnny,2,A,119,coherent,long,sideplot,107,6140.1,-12,12,coherent-long,include
411,12,Johnny,2,A,114,coherent,long,sideplot,17,2851.9,-97,97,coherent-long,include
411,12,Charles,2,C,109,mainplot,mainplot,mainplot,111,2884.7,2,2,mainplot,include
411,12,Johnny,1,A,14,coherent,long,sideplot,94,2252.2,80,80,coherent-long,include
411,12,Charles,1,E,66,mainplot,mainplot,mainplot,13,2189.6,-53,53,mainplot,include
411,12,Beatrice,2,B,103,unrelated,short,sideplot,105,4741.2,2,2,unrelated-short,include
411,12,Charles,1,E,68,mainplot,mainplot,mainplot,83,3396.2,15,15,mainplot,include
411,12,Melvin,1,A,47,coherent,short,sideplot,96,1916.9,49,49,coherent-short,include
